episode,return,rolling_mean_reward
830,1.0,8.9856
831,-0.09,8.985199999999999
832,0.0,8.9352
833,-0.08,8.7044
834,-0.05,8.644400000000001
835,-0.09999999999999999,8.6442
836,15.93,8.6135
837,15.97,8.673200000000001
838,12.0,8.6632
839,13.0,8.7938
840,11.0,8.8138
841,-0.08,8.753
842,9.0,8.773
843,-0.09999999999999999,8.7726
844,-0.09999999999999999,8.5716
845,3.0,8.4416
846,16.0,8.4218
847,13.0,8.361799999999999
848,-0.08,8.221
849,-0.04,8.1106
850,-0.04,7.9302
851,-0.08,7.8394
852,5.0,7.8094
853,-0.07,7.7687
854,-0.09999999999999999,7.7683
855,14.0,7.698300000000001
856,13.0,7.6989
857,-0.060000000000000005,7.6989
858,12.0,7.6692
859,-0.01,7.6695
860,10.99,7.649400000000001
861,19.0,7.8094
862,-0.04,7.8096000000000005
863,-0.07,7.6489
864,26.0,7.909800000000001
865,12.0,7.9102
866,7.99,7.9300999999999995
867,-0.09999999999999999,7.749099999999999
868,-0.04,7.6487
869,-0.09999999999999999,7.4583
870,20.98,7.448099999999999
871,-0.08,7.448099999999999
872,-0.08,7.3173
873,21.98,7.5378
874,11.0,7.5678
875,-0.04,7.568
876,9.0,7.547999999999999
877,7.97,7.4078
878,-0.060000000000000005,7.2172
879,10.0,7.317699999999999
880,-0.08,7.2469
881,13.0,7.2269000000000005
882,19.0,7.2872
883,14.96,7.3568
884,14.95,7.3563
885,-0.08,7.225499999999999
886,-0.04,7.225700000000001
887,-0.08,7.0949
888,6.0,7.0549
889,12.0,7.1349
890,14.0,7.1649
891,-0.08,7.004099999999999
892,13.99,7.034299999999999
893,10.0,7.0443
894,8.0,7.064299999999999
895,7.0,7.1345
896,10.97,7.245
897,-0.09999999999999999,7.144
898,-0.08,7.0736
899,-0.05,6.963100000000001
900,4.97,6.9628
901,-0.01,6.9637
902,15.0,7.114299999999999
903,23.0,7.3447000000000005
904,16.0,7.5055
905,-0.04,7.4152
906,9.99,7.5159
907,-0.060000000000000005,7.4052999999999995
908,0.0,7.225700000000001
909,-0.01,7.0656
910,14.0,7.2062
911,7.0,7.277200000000001
912,11.98,7.3978
913,5.0,7.2878
914,9.96,7.387899999999999
915,-0.08,7.2171
916,9.0,7.1371
917,26.93,7.2964
918,-0.09999999999999999,7.1854
919,23.0,7.2454
920,3.0,7.145700000000001
921,27.0,7.246
922,-0.09999999999999999,7.2456000000000005
923,7.0,7.0559
924,11.97,7.1759
925,25.0,7.1961
926,21.0,7.4069
927,-0.08,7.407100000000001
928,10.0,7.4572
929,0.0,7.3272
930,14.0,7.4572
931,13.0,7.588100000000001
932,11.0,7.6981
933,-0.08,7.6981
934,13.0,7.8286
935,-0.07,7.8289
936,-0.060000000000000005,7.669
937,10.98,7.6190999999999995
938,-0.09999999999999999,7.498100000000001
939,11.0,7.4781
940,-0.08,7.3673
941,15.0,7.5181000000000004
942,9.0,7.5181000000000004
943,-0.09999999999999999,7.5181000000000004
944,6.0,7.5790999999999995
945,13.0,7.6791
946,12.0,7.6391
947,3.97,7.5488
948,-0.08,7.5488
949,7.0,7.619199999999999
950,9.98,7.7194
951,8.98,7.81
952,-0.09,7.7591
953,20.0,7.9598
954,12.99,8.0907
955,7.0,8.0207
956,3.95,7.9302
957,29.97,8.2305
958,-0.09,8.1096
959,11.0,8.2197
960,6.98,8.1796
961,-0.09999999999999999,7.9886
962,12.0,8.109
963,14.0,8.2497
964,4.94,8.0391
965,15.0,8.069099999999999
966,-0.060000000000000005,7.9886
